casos_conf_ult_14dias,casos_confirmados_totales,zona_basic,fecha_informe,tasa_inc_acum_ult_14dias,tasa_inc_acum_total
35.0,1617,Martínez de la Riva,2020-01-12 00:00:00,209.555741827326,9681.47527242246
28.0,709,María Curie,2020-01-12 00:00:00,214.001834301437,5418.83216141853
19.0,725,María Montessori,2020-01-12 00:00:00,136.828460319747,5221.08598588506
24.0,876,María de Guzmán,2020-01-12 00:00:00,108.103238592856,3945.76820863925
29.0,760,Meco,2020-01-12 00:00:00,112.46848943184,2947.45006786892
45.0,1412,Media Legua,2020-01-12 00:00:00,179.583366589512,5634.92696943092
117.0,2011,Mejorada del Campo,2020-01-12 00:00:00,264.102390465227,4539.40091645787
39.0,1192,Mendiguchía Carriche,2020-01-12 00:00:00,171.874311400996,5253.18408179454
35.0,1132,Miguel Servet,2020-01-12 00:00:00,203.689693301519,6587.90665192341
28.0,1000,Miguel de Cervantes,2020-01-12 00:00:00,102.729674200176,3668.91693572058
57.0,1656,Miraflores,2020-01-12 00:00:00,260.929274433509,7580.68207827878
75.0,1465,Mirasierra,2020-01-12 00:00:00,228.053638215708,4454.64773314684
35.0,765,Monforte de Lemos,2020-01-12 00:00:00,218.36785625156,4772.89742949838
50.0,936,Monovar,2020-01-12 00:00:00,235.893564823552,4415.92753349689
44.0,833,Montecarmelo,2020-01-12 00:00:00,238.095238095238,4507.57575757576
66.0,1520,Monterrozas,2020-01-12 00:00:00,170.028595718371,3915.81008321096
64.0,1472,Montesa,2020-01-12 00:00:00,262.866061527088,6045.91941512301
44.0,572,Moralzarzal,2020-01-12 00:00:00,337.785966528481,4391.21756487026
7.0,483,Morata de Tajuña,2020-01-12 00:00:00,91.1102433945074,6286.60679422101
81.0,1869,María Jesús Hereza,2020-01-12 00:00:00,211.49377268336,4880.02297710123
25.0,341,Méndez Álvaro,2020-01-12 00:00:00,277.963086502113,3791.41649988881
104.0,1593,Navalcarnero,2020-01-12 00:00:00,251.675822181352,3854.99600706628
7.0,307,Navas del Rey,2020-01-12 00:00:00,100.416009180892,4403.95925979056
19.0,872,Nuestra Señora del Pilar,2020-01-12 00:00:00,107.67312705429,4941.6298311232
66.0,1981,Numancia,2020-01-12 00:00:00,271.817470450146,8158.64256002636
40.0,1144,Nuñez Morgado,2020-01-12 00:00:00,171.570730033456,4906.92287895685
30.0,1349,Opañel,2020-01-12 00:00:00,154.734887559315,6957.91211058387
39.0,1140,Orcasitas,2020-01-12 00:00:00,170.805413217711,4992.7736171331
39.0,845,Orcasur,2020-01-12 00:00:00,282.281412854661,6116.09727851766
61.0,1599,Pacífico,2020-01-12 00:00:00,185.630382520313,4865.95051885214
44.0,1224,Palma Universidad,2020-01-12 00:00:00,180.047467059498,5008.5931745642
27.0,761,Palomares,2020-01-12 00:00:00,218.7474682006,6165.43790002431
90.0,2107,Panaderas,2020-01-12 00:00:00,242.633380961367,5680.31704095112
33.0,881,Paracuellos del Jarama,2020-01-12 00:00:00,130.594799952511,3486.485416914
29.0,723,Parque Coimbra,2020-01-12 00:00:00,237.315875613748,5916.53027823241
72.0,1244,Parque Europa,2020-01-12 00:00:00,216.55437921078,3741.57844080847
73.0,1321,Parque Loranca,2020-01-12 00:00:00,234.915526950925,4251.0056315366
24.0,558,Parque Oeste,2020-01-12 00:00:00,165.483003516514,3847.47983175895
33.0,1027,Pavones,2020-01-12 00:00:00,204.018547140649,6349.30448222566
6.0,522,Perales de Tajuña,2020-01-12 00:00:00,67.8809820115398,5905.64543500396
12.0,407,Perales del Río,2020-01-12 00:00:00,124.636476942252,4227.25384295804
39.0,1852,Peña Prieta,2020-01-12 00:00:00,226.915692092861,10775.5861988712
66.0,1163,Peñagrande,2020-01-12 00:00:00,264.010560422417,4652.1860874435
95.0,1996,Pilar,2020-01-12 00:00:00,227.610331113134,4782.21285159806
40.0,927,Pinto,2020-01-12 00:00:00,207.490403568835,4808.59010270775
30.0,1546,Pintores,2020-01-12 00:00:00,124.228746531947,6401.92140461303
23.0,852,Pizarro,2020-01-12 00:00:00,139.546171581119,5169.27557335275
47.0,1257,Portazgo,2020-01-12 00:00:00,262.203626220363,7012.55230125523
69.0,1234,Potosí,2020-01-12 00:00:00,236.422819941751,4228.19941750899
17.0,683,Pozo de Tío Raimundo,2020-01-12 00:00:00,236.242356864925,9491.38410227904
88.0,1576,Pozuelo - Estación,2020-01-12 00:00:00,229.399650686896,4108.33919866531
46.0,938,Pozuelo - Somosaguas,2020-01-12 00:00:00,199.108340908107,4060.07877764792
46.0,1002,Presentación Sabio,2020-01-12 00:00:00,205.770521136211,4482.21874301051
125.0,2702,Prosperidad,2020-01-12 00:00:00,226.064310775129,4886.6061417152
41.0,1321,Puerta Bonita,2020-01-12 00:00:00,276.727861771058,8916.03671706264
27.0,720,Puerta de Madrid,2020-01-12 00:00:00,202.474690663667,5399.32508436445
31.0,1081,Puerta del Ángel,2020-01-12 00:00:00,174.706943192065,6092.20018034265
33.0,448,Quinta de los Molinos,2020-01-12 00:00:00,290.851401374934,3948.52811563547
33.0,1478,Rafael Alberti,2020-01-12 00:00:00,163.828625328898,7337.53661321551
43.0,1029,Ramón y Cajal,2020-01-12 00:00:00,217.281455280445,5199.59575543204
,75,Rascafría,2020-01-12 00:00:00,113.808801213961,2845.22003034901
74.0,1963,Reina Victoria,2020-01-12 00:00:00,213.391775765615,5660.64940307976
24.0,677,Rejas,2020-01-12 00:00:00,143.686762856972,4053.16410225708
49.0,1612,Reyes Católicos,2020-01-12 00:00:00,234.685569232243,7720.6762775995
32.0,1062,Reyes Magos,2020-01-12 00:00:00,121.184579262289,4021.81322426721
41.0,1123,Rivas - La Paz,2020-01-12 00:00:00,175.056573160839,4794.84223560053
55.0,1386,Rivas - Santa Mónica,2020-01-12 00:00:00,147.992681089226,3729.4155634485
65.0,1131,Rivas - 1º de Mayo,2020-01-12 00:00:00,235.806276074732,4103.02920370034
15.0,325,Robledo de Chavela,2020-01-12 00:00:00,162.460738654825,3519.98267085454
76.0,1111,Rosa Luxemburgo,2020-01-12 00:00:00,315.261127473348,4608.61990293276
63.0,1973,San Andrés,2020-01-12 00:00:00,268.725473468691,8415.79935164648
52.0,2282,San Blas,2020-01-12 00:00:00,163.913756146766,7193.29214474846
32.0,1748,San Cristóbal,2020-01-12 00:00:00,154.918667699458,8462.43222308288
56.0,2491,San Diego,2020-01-12 00:00:00,216.911337490801,9648.68110159972
56.0,1543,San Fermín,2020-01-12 00:00:00,236.346754452604,6512.19718072086
41.0,981,San Fernando,2020-01-12 00:00:00,208.396868964115,4986.27630375114
32.0,1265,San Isidro,2020-01-12 00:00:00,185.733356550003,7342.2717511173
44.0,1248,San Juan de la Cruz,2020-01-12 00:00:00,176.296177578332,5000.40067313086
22.0,795,San Lorenzo de El Escorial,2020-01-12 00:00:00,103.37860062967,3735.72670457215
26.0,588,San Martín de Valdeiglesias,2020-01-12 00:00:00,235.187697874265,5318.86024423338
35.0,829,San Martín de la Vega,2020-01-12 00:00:00,182.576943140323,4324.4653103808
93.0,1156,Sanchinarro,2020-01-12 00:00:00,318.144499178982,3954.57033388068
33.0,1309,Santa Eugenia,2020-01-12 00:00:00,135.74102258237,5384.39389576735
56.0,832,Sector Embarcaciones,2020-01-12 00:00:00,196.615406221473,2921.1431781476
40.0,1235,Sector III,2020-01-12 00:00:00,139.033715676051,4292.66597149809
49.0,777,Sector Oficios,2020-01-12 00:00:00,254.677754677755,4038.46153846154
57.0,1063,Segovia,2020-01-12 00:00:00,250.538437870863,4672.32209573206
96.0,1880,Segre,2020-01-12 00:00:00,252.259827622451,4940.08829093967
43.0,500,Sevilla la Nueva,2020-01-12 00:00:00,348.969323161824,4057.78282746307
40.0,1017,Sierra de Guadarrama,2020-01-12 00:00:00,262.881177707676,6683.75394321767
121.0,1647,Silvano,2020-01-12 00:00:00,296.118643238216,4030.63971415986
47.0,1498,Simancas,2020-01-12 00:00:00,168.313995129638,5364.56095115313
32.0,797,Soto del Real,2020-01-12 00:00:00,127.627328201651,3178.71814302237
38.0,1053,Sánchez Morate,2020-01-12 00:00:00,207.741089000656,5756.61491362344
9.0,340,Torrelaguna,2020-01-12 00:00:00,140.427523794664,5305.03978779841
78.0,1302,Torrelodones,2020-01-12 00:00:00,242.605206680974,4049.64075767472
35.0,862,Torres de la Alameda,2020-01-12 00:00:00,135.480374700008,3336.68808546876
53.0,977,V Centenario,2020-01-12 00:00:00,336.145113211137,6196.48633221285
27.0,1472,Valdeacederas,2020-01-12 00:00:00,103.698582786035,5653.49310596459
26.0,953,Valdebernardo,2020-01-12 00:00:00,163.862103737316,6006.17634083318
37.0,1063,Valdelasfuentes,2020-01-12 00:00:00,140.727217404534,4043.05492164917
24.0,422,Valdemorillo,2020-01-12 00:00:00,191.723917558715,3371.14555040741
82.0,1653,Valdemoro,2020-01-12 00:00:00,189.376443418014,3817.5519630485
35.0,812,Valderribas,2020-01-12 00:00:00,175.83521728209,4079.37704094449
101.0,2778,Valdezarza,2020-01-12 00:00:00,219.598634574827,6040.04957276107
34.0,625,Valle Inclán,2020-01-12 00:00:00,325.764108460286,5988.31081728466
27.0,926,Valle de la Oliva,2020-01-12 00:00:00,129.019926410857,4424.90562431309
61.0,1209,Valleaguado,2020-01-12 00:00:00,286.950794994826,5687.27067456957
46.0,1217,Vandel,2020-01-12 00:00:00,205.458037429095,5435.70503372192
31.0,790,Vicente Muzas,2020-01-12 00:00:00,148.923904688701,3795.15757109915
38.0,1230,Vicálvaro - Artilleros,2020-01-12 00:00:00,203.939247571513,6601.1914345516
39.0,1006,Vicálvaro - Villablanca,2020-01-12 00:00:00,220.513400429718,5688.11489313581
65.0,2312,Villa Vallecas,2020-01-12 00:00:00,238.025487036766,8466.38347736927
17.0,660,Villa del Prado,2020-01-12 00:00:00,181.662748450524,7052.78905749092
55.0,1649,Villaamil,2020-01-12 00:00:00,219.876868953386,6592.30830734789
111.0,1391,Villanueva de la Cañada,2020-01-12 00:00:00,311.622683885458,3905.10948905109
68.0,655,Villanueva del Pardillo,2020-01-12 00:00:00,395.80908032596,3812.57275902212
14.0,730,Villarejo de Salvanés,2020-01-12 00:00:00,98.9539157478089,5159.73989256432
75.0,971,Villaviciosa de Odón,2020-01-12 00:00:00,269.444943416562,3488.41386743309
54.0,1834,Vinateros - Torito,2020-01-12 00:00:00,174.486234974796,5926.06953599586
24.0,683,Virgen de Begoña,2020-01-12 00:00:00,248.85939444214,7082.12360016591
34.0,766,Virgen del Cortijo,2020-01-12 00:00:00,241.855171432636,5448.85474462939
16.0,430,Virgen del Val,2020-01-12 00:00:00,113.162175542825,3041.23346771342
65.0,2422,Vista Alegre,2020-01-12 00:00:00,175.861042720706,6552.85300722383
68.0,2437,Zofío,2020-01-12 00:00:00,216.099405726634,7744.62134935011
